id,longest path,total edge,rate,total vertex
384,11,20,0.55,18
385,2,2,1,3
386,14,14,1,15
387,12,18,0.666666667,15
388,14,14,1,15
389,5,9,0.555555556,9
390,5,5,1,6
391,14,19,0.736842105,18
392,2,2,1,3
393,5,9,0.555555556,9
394,5,9,0.555555556,9
395,7,17,0.411764706,15
396,8,12,0.666666667,12
397,2,2,1,3
398,10,12,0.833333333,12
399,14,14,1,15
400,8,8,1,9
401,10,16,0.625,15
402,8,8,1,9
403,5,9,0.555555556,9
404,8,8,1,9
405,8,8,1,9
406,14,14,1,15
407,11,11,1,12
408,8,8,1,9
409,14,19,0.736842105,18
410,14,14,1,15
411,8,8,1,9
412,2,2,1,3
413,14,20,0.7,18
414,11,11,1,12
415,5,5,1,6
416,5,9,0.555555556,9
417,2,2,1,3
418,8,8,1,9
419,14,19,0.736842105,18
420,14,19,0.736842105,18
421,8,8,1,9
422,14,14,1,15
423,11,11,1,12
424,2,2,1,3
425,8,15,0.533333333,15
426,2,2,1,3
427,7,19,0.368421053,15
428,2,2,1,3
429,8,12,0.666666667,12
430,5,5,1,6
431,2,2,1,3
432,14,14,1,15
433,14,19,0.736842105,18
434,10,16,0.625,15
435,2,2,1,3
436,5,5,1,6
437,14,22,0.636363636,21
438,2,2,1,3
439,8,8,1,9
440,8,12,0.666666667,12
441,2,2,1,3
442,2,2,1,3
443,14,26,0.538461538,21
444,8,12,0.666666667,12
445,2,2,1,3
446,2,2,1,3
447,2,2,1,3
448,2,2,1,3
449,2,2,1,3
450,14,14,1,15
451,2,2,1,3
452,14,26,0.538461538,24
453,14,19,0.736842105,18
454,4,6,0.666666667,6
455,14,16,0.875,15
456,14,19,0.736842105,18
457,4,6,0.666666667,6
458,14,14,1,15
459,2,2,1,3
460,5,5,1,6
461,5,5,1,6
462,2,2,1,3
463,5,9,0.555555556,9
464,2,2,1,3
465,5,9,0.555555556,9
466,2,2,1,3
467,2,2,1,3
468,5,9,0.555555556,9
469,2,2,1,3
470,5,9,0.555555556,9
471,8,8,1,9
472,20,26,0.769230769,24
473,5,5,1,6
474,14,18,0.777777778,18
475,8,8,1,9
476,5,9,0.555555556,9
477,2,2,1,3
478,5,9,0.555555556,9
479,5,9,0.555555556,9
480,14,19,0.736842105,18
481,2,3,0.666666667,3
482,5,9,0.555555556,9
483,14,22,0.636363636,21
484,8,8,1,9
485,5,6,0.833333333,6
486,2,2,1,3
487,14,14,1,15
488,5,9,0.555555556,9
489,8,12,0.666666667,12
490,5,5,1,6
491,8,8,1,9
492,2,2,1,3
493,14,26,0.538461538,21
494,16,23,0.695652174,21
495,8,16,0.5,15
496,2,2,1,3
497,11,11,1,12
498,14,20,0.7,18
499,14,16,0.875,15
500,14,19,0.736842105,18
501,5,6,0.833333333,6
502,14,20,0.7,18
503,11,11,1,12
504,2,2,1,3
505,14,19,0.736842105,18
506,14,14,1,15
507,2,2,1,3
508,2,2,1,3
509,2,2,1,3
510,2,2,1,3
511,5,5,1,6
512,2,2,1,3
513,11,11,1,12
514,20,26,0.769230769,24
515,7,9,0.777777778,9
516,14,19,0.736842105,18
517,14,19,0.736842105,18
518,14,14,1,15
519,8,15,0.533333333,15
520,11,16,0.6875,15
521,2,2,1,3
522,8,12,0.666666667,12
523,2,2,1,3
524,2,2,1,3
525,8,8,1,9
526,2,2,1,3
527,14,22,0.636363636,21
528,14,14,1,15
529,14,21,0.666666667,21
530,14,19,0.736842105,18
531,11,11,1,12
532,14,19,0.736842105,18
533,2,2,1,3
534,14,20,0.7,18
535,14,19,0.736842105,18
536,8,8,1,9
537,8,9,0.888888889,9
538,14,19,0.736842105,18
539,8,8,1,9
540,8,8,1,9
541,2,2,1,3
542,2,2,1,3
543,20,26,0.769230769,24
544,8,8,1,9
545,14,19,0.736842105,18
546,11,12,0.916666667,12
547,2,2,1,3
548,5,5,1,6
549,14,14,1,15
550,20,26,0.769230769,24
551,5,9,0.555555556,9
552,2,2,1,3
553,14,19,0.736842105,18
554,14,19,0.736842105,18
555,14,19,0.736842105,18
556,4,6,0.666666667,6
557,11,16,0.6875,15
558,2,2,1,3
559,14,14,1,15
560,14,24,0.583333333,21
561,20,26,0.769230769,24
562,8,9,0.888888889,9
563,14,22,0.636363636,21
564,14,14,1,15
565,14,19,0.736842105,18
566,14,19,0.736842105,18
567,14,19,0.736842105,18
568,14,19,0.736842105,18
569,14,19,0.736842105,18
570,14,26,0.538461538,24
571,5,6,0.833333333,6
572,14,18,0.777777778,18
573,14,19,0.736842105,18
574,14,19,0.736842105,18
575,5,9,0.555555556,9
576,14,14,1,15
577,17,25,0.68,24
578,14,14,1,15
579,2,2,1,3
580,14,14,1,15
581,14,15,0.933333333,15
582,11,11,1,12
583,14,14,1,15
584,14,23,0.608695652,21
585,14,14,1,15
586,8,8,1,9
587,2,2,1,3
588,17,23,0.739130435,21
589,14,19,0.736842105,18
590,5,9,0.555555556,9
591,17,25,0.68,24
592,14,24,0.583333333,24
593,11,11,1,12
594,14,14,1,15
595,5,5,1,6
596,14,19,0.736842105,18
597,20,26,0.769230769,24
598,14,14,1,15
599,2,2,1,3
600,5,6,0.833333333,6
601,20,28,0.714285714,24
602,14,19,0.736842105,18
603,14,14,1,15
604,20,20,1,21
605,14,18,0.777777778,18
606,14,14,1,15
607,14,14,1,15
608,14,18,0.777777778,18
609,14,19,0.736842105,18
610,14,24,0.583333333,24
611,14,21,0.666666667,21
612,7,9,0.777777778,9
613,14,26,0.538461538,24
614,14,24,0.583333333,24
615,14,19,0.736842105,18
616,14,22,0.636363636,21
617,14,18,0.777777778,18
618,2,3,0.666666667,3
619,14,14,1,15
620,14,26,0.538461538,24
621,11,11,1,12
622,11,16,0.6875,15
623,5,9,0.555555556,9
624,20,26,0.769230769,24
625,2,2,1,3
626,7,17,0.411764706,15
627,14,19,0.736842105,18
628,20,26,0.769230769,24
629,20,26,0.769230769,24
630,20,20,1,21
631,14,19,0.736842105,18
632,20,26,0.769230769,24
633,14,16,0.875,15
634,4,6,0.666666667,6
635,17,17,1,18
636,20,20,1,21
637,14,23,0.608695652,21
638,11,16,0.6875,15
639,11,16,0.6875,15
640,14,19,0.736842105,18
641,5,9,0.555555556,9
642,14,19,0.736842105,18
643,2,2,1,3
644,16,27,0.592592593,24
645,14,19,0.736842105,18
646,14,14,1,15
647,14,19,0.736842105,18
648,14,21,0.666666667,21
649,14,19,0.736842105,18
650,20,26,0.769230769,24
651,20,26,0.769230769,24
652,14,24,0.583333333,24
653,14,19,0.736842105,18
654,14,14,1,15
655,20,26,0.769230769,24
656,14,21,0.666666667,21
657,14,26,0.538461538,24
658,11,11,1,12
659,17,23,0.739130435,21
660,14,14,1,15
661,14,19,0.736842105,18
662,14,15,0.933333333,15
663,20,26,0.769230769,24
664,8,12,0.666666667,12
665,5,6,0.833333333,6
666,14,20,0.7,18
667,14,20,0.7,18
668,8,8,1,9
669,2,2,1,3
670,20,26,0.769230769,24
671,5,9,0.555555556,9
672,14,26,0.538461538,24
673,14,19,0.736842105,18
674,14,19,0.736842105,18
675,14,19,0.736842105,18
676,8,12,0.666666667,12
677,20,20,1,21
678,14,19,0.736842105,18
679,14,19,0.736842105,18
680,5,9,0.555555556,9
681,14,14,1,15
682,20,26,0.769230769,24
683,14,19,0.736842105,18
684,14,14,1,15
685,14,19,0.736842105,18
686,20,26,0.769230769,24
687,11,11,1,12
688,20,26,0.769230769,24
689,14,19,0.736842105,18
