nohup: ignoring input
2022-08-12 06:05:44.326703: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2022-08-12 06:05:44.326746: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2022-08-12 06:05:47.391181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2022-08-12 06:05:47.391226: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2022-08-12 06:05:47.391250: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (ubuntu): /proc/driver/nvidia/version does not exist
2022-08-12 06:05:47.391574: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
random - 000356 :  5.8809916178385414e-05
random - 000357 :  2.0424524943033855e-05
random - 000358 :  3.0040740966796875e-05
random - 000359 :  1.7484029134114582e-05
random - 000360 :  4.30146853129069e-06
random - 000361 :  3.298123677571615e-05
random - 000362 :  2.372264862060547e-05
random - 000363 :  1.915295918782552e-05
random - 000364 :  2.765655517578125e-05
random - 000365 :  1.5298525492350261e-06
random - 000366 :  1.5815099080403645e-05
random - 000367 :  1.8676122029622395e-05
random - 000368 :  3.520647684733073e-05
random - 000369 :  3.437201182047526e-06
random - 000370 :  2.582867940266927e-05
random - 000371 :  3.123283386230469e-05
random - 000372 :  3.786881764729818e-05
random - 000373 :  3.703435262044271e-05
random - 000374 :  1.6768773396809895e-05
random - 000375 :  2.002716064453125e-05
random - 000376 :  1.8596649169921875e-05
random - 000377 :  4.522005716959635e-05
random - 000378 :  1.2993812561035156e-05
random - 000379 :  1.708666483561198e-06
random - 000380 :  4.758437474568685e-06
random - 000381 :  2.6464462280273438e-05
random - 000382 :  3.4968058268229165e-06
random - 000383 :  3.0994415283203125e-06
random - 000384 :  3.1789143880208335e-06
random - 000385 :  4.480282465616862e-06
random - 000386 :  2.1219253540039062e-05
random - 000387 :  1.6609827677408855e-05
random - 000388 :  1.3748804728190104e-05
random - 000389 :  1.3947486877441406e-05
random - 000390 :  3.826618194580078e-05
random - 000391 :  2.761681874593099e-05
random - 000392 :  7.331371307373047e-06
random - 000393 :  3.6160151163736978e-06
random - 000394 :  2.193450927734375e-05
random - 000395 :  1.5894571940104168e-05
random - 000396 :  5.1180521647135414e-05
random - 000397 :  5.473693211873372e-06
random - 000398 :  1.8755594889322918e-05
random - 000399 :  1.2278556823730469e-05
random - 000400 :  5.6425730387369794e-06
random - 000401 :  4.3551127115885414e-05
random - 000402 :  5.125999450683594e-06
random - 000403 :  3.437201182047526e-06
random - 000404 :  2.8451283772786457e-05
random - 000405 :  1.5735626220703125e-05
random - 000406 :  1.7325083414713543e-05
random - 000407 :  2.0424524943033855e-05
random - 000408 :  1.4901161193847656e-06
