No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
92,2.43E-05,1.19E-06,2.53E-05,1.16E-06,2.15E-05,2.68E-07,2.37E-05,8.73E-07,0:1 1:1 2:2 ,from:0 to:1 operator:3  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
93,4.65E-06,1.07E-06,4.65E-06,1.09E-06,5.69E-06,1.82E-07,5.00E-06,7.82E-07,0:1 1:1 2:1 ,from:0 to:1 operator:11  from:1 to:2 operator:-1  ,0
94,5.01E-05,2.13E-06,3.05E-05,1.94E-06,2.72E-05,6.03E-07,3.59E-05,1.56E-06,0:1 1:1 2:2 ,from:0 to:1 operator:6  from:0 to:2 operator:12  from:1 to:2 operator:-1  ,0
95,2.17E-05,1.70E-06,2.12E-05,1.67E-06,1.16E-05,4.21E-07,1.82E-05,1.26E-06,0:1 1:1 2:2 ,from:0 to:1 operator:12  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
96,2.32E-06,5.62E-07,2.38E-06,5.62E-07,3.34E-06,1.08E-07,2.68E-06,4.11E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
97,6.62E-06,1.14E-06,6.62E-06,1.12E-06,4.17E-06,1.45E-07,5.80E-06,8.03E-07,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:2 operator:9  from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
98,1.41E-05,1.31E-06,1.38E-05,1.31E-06,1.19E-05,2.80E-07,1.33E-05,9.69E-07,0:1 1:1 2:2 ,from:0 to:1 operator:11  from:0 to:2 operator:2  from:1 to:2 operator:-1  ,0
99,3.93E-06,8.83E-07,3.58E-06,8.92E-07,4.83E-06,3.71E-07,4.11E-06,7.15E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
100,2.29E-05,1.26E-06,1.88E-05,1.24E-06,1.24E-05,2.00E-07,1.80E-05,9.00E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:5  from:1 to:2 operator:-1  ,0
101,4.29E-06,7.90E-07,4.47E-06,7.63E-07,3.22E-06,2.59E-07,3.99E-06,6.04E-07,0:1 1:1 2:2 ,from:0 to:1 operator:6  from:0 to:2 operator:12  from:1 to:2 operator:-1  ,0
102,1.19E-05,1.51E-06,1.29E-05,1.50E-06,2.46E-05,2.84E-07,1.65E-05,1.10E-06,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
103,2.21E-06,5.31E-07,2.32E-06,5.40E-07,3.46E-06,1.47E-07,2.66E-06,4.06E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
104,1.34E-05,1.26E-06,1.31E-05,1.23E-06,9.06E-06,2.37E-07,1.18E-05,9.08E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
105,6.50E-06,1.28E-06,6.38E-06,1.28E-06,2.68E-06,2.18E-07,5.19E-06,9.26E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:6  from:1 to:2 operator:-1  ,0
106,1.22E-05,1.38E-06,1.24E-05,1.34E-06,8.58E-06,2.60E-07,1.10E-05,9.93E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:13  from:1 to:2 operator:10  ,0
107,3.12E-05,1.73E-06,3.08E-05,1.62E-06,2.48E-05,4.48E-07,2.89E-05,1.27E-06,0:1 1:1 2:2 ,from:0 to:1 operator:6  from:0 to:2 operator:12  from:1 to:2 operator:-1  ,0
108,2.88E-05,3.94E-06,2.91E-05,3.88E-06,1.35E-05,1.10E-06,2.38E-05,2.98E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:1  ,0
109,1.48E-05,1.42E-06,1.48E-05,1.41E-06,1.67E-05,2.40E-07,1.54E-05,1.02E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
110,7.03E-06,1.45E-06,7.09E-06,1.44E-06,6.85E-06,3.26E-07,6.99E-06,1.07E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
111,2.34E-05,1.13E-06,2.15E-05,1.15E-06,3.00E-05,6.03E-07,2.50E-05,9.61E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
112,2.00E-05,1.45E-06,2.00E-05,1.42E-06,9.78E-06,2.17E-07,1.66E-05,1.03E-06,0:1 1:1 2:2 ,from:0 to:1 operator:13  from:0 to:2 operator:12  from:1 to:2 operator:-1  ,0
113,3.17E-05,3.07E-06,3.19E-05,3.05E-06,4.41E-05,9.98E-07,3.59E-05,2.37E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
114,5.84E-06,1.22E-06,5.96E-06,1.21E-06,3.22E-06,2.15E-07,5.01E-06,8.83E-07,0:1 1:1 2:2 ,from:0 to:1 operator:6  from:0 to:2 operator:5  from:1 to:2 operator:-1  ,0
115,2.93E-05,3.78E-06,2.71E-05,3.68E-06,2.12E-05,7.29E-07,2.59E-05,2.73E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
